2024-09-08 10:03:05.193 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:03:07.190 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 1999.1983 ms
2024-09-08 10:03:07.255 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 4.3060 ms
2024-09-08 10:03:07.257 +05:00 [INF] HTTP GET /js/global.js responded 304 in 7.0222 ms
2024-09-08 10:03:07.257 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 304 in 7.0126 ms
2024-09-08 10:03:07.389 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 2.1089 ms
2024-09-08 10:03:07.389 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 2.1086 ms
2024-09-08 10:03:07.410 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.5941 ms
2024-09-08 10:03:07.410 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.6045 ms
2024-09-08 10:03:35.234 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 243.3436 ms
2024-09-08 10:03:35.286 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 1.3570 ms
2024-09-08 10:03:35.392 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 1.3760 ms
2024-09-08 10:03:35.393 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 3.4265 ms
2024-09-08 10:03:35.404 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.5559 ms
2024-09-08 10:03:35.404 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.5558 ms
2024-09-08 10:03:57.087 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 353.3084 ms
2024-09-08 10:03:57.183 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 0.6856 ms
2024-09-08 10:03:57.368 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 0.6520 ms
2024-09-08 10:03:57.369 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 3.2301 ms
2024-09-08 10:03:57.397 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.8362 ms
2024-09-08 10:03:57.397 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.6526 ms
2024-09-08 10:04:01.807 +05:00 [INF] HTTP GET /Company/Account/Logout responded 302 in 50.5845 ms
2024-09-08 10:04:02.017 +05:00 [INF] HTTP GET /Company/Account/Login responded 200 in 205.4036 ms
2024-09-08 10:04:02.085 +05:00 [INF] HTTP GET /assets/js/plugins/jquery-validation/jquery.validate.min.js responded 404 in 1.9055 ms
2024-09-08 10:04:02.122 +05:00 [INF] HTTP GET /assets/js/pages/op_auth_signin.min.js responded 200 in 39.5305 ms
2024-09-08 10:04:02.122 +05:00 [INF] HTTP GET /assets/media/photos/ndis.jpg responded 200 in 40.0265 ms
